"","MID","origin_time","first_ob_time","maturity_time","RE_Type","investor","FICO_orig_time","status_time","AvgLTV_time","SDLTV_time","Avgbalance","SDbalance","Avginterest_rate_time","SDinterest_rate_time","Avghpi_time","SDhpi_time","Avg_gdp_time","Avg_uer_time","sd_gdp_time","sd_uer_time"
"1",222,19,19,132,"PU","0",560,"2",90.39020852,6.51922963072794,160306.385,1688.02652125197,4.3,6.08111831820431,200.14,12.3319422638934,3.32424888233333,5.33333333333333,0.244217105761855,0.152752523165195
"2",223,19,19,135,"OTH","0",621,"1",79.45555535,1.05280372046609,66180.445,9644.30717034925,6.55,0,175.01,23.2072445585425,1.410750375,6.93030303030303,2.06455535857009,2.09530499696417
"3",226,24,24,141,"SF","0",516,"2",69.652776015,0.491048868768231,289926.695,810.775706376297,5.1,7.21248916810278,224.425,0.954594154601835,2.72389889633333,4.7,0.508108135598617,0
"4",227,23,23,141,"OTH","0",657,"2",70.594319645,0.840494902343761,266020.375,4779.51151073517,2.9005,4.10192643766316,217.32,6.49124025129251,2.339610821375,4.6625,0.658420103374297,0.176776695296637
"5",229,23,23,141,"OTH","0",503,"2",66.27249668,1.17026641805276,166049.295,637.393123629368,4.3375,6.1341513267933,224.1,3.09712770159708,3.002480417,4.8,0.111824327536503,0.173205080756888
"6",231,23,23,141,"OTH","0",629,"1",90.87203648,1.23324581690009,378141.185,6164.29528887529,4.7875,6.77054742986119,217.32,6.49124025129251,2.339610821375,4.6625,0.658420103374297,0.176776695296637
"7",232,23,23,141,"OTH","0",553,"1",92.595586735,5.08492752532579,136437.255,2210.05517353074,4.9375,6.98267946421716,211.29,15.0189480324023,2.285286193,4.66666666666667,0.63709331396133,0.16583123951777
"8",234,23,23,141,"CO","0",641,"2",80.03725884,0.0526919568462889,86347.78,1205.2210821256,3.45,4.87903679018718,219.64,3.21026478658692,2.34895268142857,4.65714285714286,0.710602102461163,0.190237946242268
"9",235,23,23,141,"OTH","0",679,"2",79.917465885,0.116720864791463,339649.23,496.063691273596,3.25,4.59619407771256,221.91,0,2.987109445,5,2.987109445,5
"10",236,23,23,141,"OTH","0",680,"2",79.8379895,0.229117446346848,798379.895,2291.17446346844,2.975,4.20728534805996,221.91,0,2.987109445,5,2.987109445,5
"11",239,23,23,141,"OTH","0",639,"2",84.55136209,0.634469816916723,432990.19,720.980216233424,3.475,4.91439212924651,222.83,1.30107647738325,3.054152267,4.85,0.0948128681321652,0.212132034355964
"12",240,23,23,141,"CO","0",720,"2",80,0,280000,0,2.75,3.88908729652601,221.91,0,2.987109445,5,2.987109445,5
"13",241,23,23,141,"OTH","0",570,"1",89.415849075,0.684692804370481,62678.335,384.192327422088,4.25,6.01040764008565,222.15,0.339411254969536,2.70410557,4.7,0.422741344964604,0.212132034355964
"14",242,23,23,141,"OTH","0",634,"1",103.76457525,22.8601615485505,460000,0,4.625,6.54073772597557,192,42.2991276505793,1.491408102,4.94615384615385,1.61310184071224,0.582545255202524
"15",244,23,23,141,"OTH","0",606,"2",80.835441875,1.18149323019941,164000,0,3.4125,4.82600378159819,219.64,3.21026478658692,2.34895268142857,4.65714285714286,0.710602102461163,0.190237946242268
"16",247,23,23,141,"OTH","0",584,"2",89.502983335,0.702887708368441,66505.27,133.968450763608,4.4375,6.27557268303061,222.83,1.30107647738325,3.054152267,4.85,0.0948128681321652,0.212132034355964
"17",250,23,23,141,"OTH","0",586,"2",84.19934716,1.13229410508053,436713.735,1465.50001721258,3.495,4.94267640049397,223.505,2.25567063198508,2.7897015335,4.775,0.435242307847043,0.15
"18",251,23,23,141,"CO","0",626,"1",87.23323534,10.2293395176644,256361.535,1751.45399952439,5.6375,7.97262895787832,204.015,25.3073516986665,2.1671738497,4.7,0.707314988227182,0.188561808316413
"19",254,23,23,141,"OTH","0",593,"2",90.21861512,0.309168467643825,255822.185,958.575165779923,3.95,5.58614357137373,220.79,1.58391918985787,2.45828335,4.68333333333333,0.711013065188226,0.194079021706795
"20",259,23,23,141,"OTH","0",767,"2",80,0,176000,0,3.125,4.41941738241592,221.91,0,2.987109445,5,2.987109445,5
"21",260,23,23,141,"OTH","0",693,"2",81.726131715,2.44111888179533,556000,0,2.725,3.85373195746668,217.32,6.49124025129251,2.339610821375,4.6625,0.658420103374297,0.176776695296637
"22",261,23,23,141,"OTH","0",728,"0",101.57531485,2.22783162587774,68705.485,6073.36135681469,4.1875,5.92201929243734,205.865,22.6910566082763,1.35864745757895,7.05789473684211,1.87255672711582,1.9062672707517
"23",262,23,23,141,"OTH","0",656,"1",103.13343915,21.6847576037526,223339.53,9419.32700577913,3.5,0,188.425,47.3549411360631,1.09880614337037,7.1,2.13255373589965,2.20069918959337
"24",263,23,23,141,"OTH","0",512,"1",71.355284775,0.487500946351495,64454.735,64.0143769008173,4.8875,6.9119687860985,222.83,1.30107647738325,3.054152267,4.85,0.0948128681321652,0.212132034355964
"25",264,23,23,141,"OTH","0",660,"2",93.960303395,1.47035303954427,388997.03,711.306995466797,3.5625,5.03813581595415,224.1,3.09712770159708,3.002480417,4.8,0.111824327536503,0.173205080756888
"26",265,23,23,141,"OTH","0",598,"2",83.820023135,5.40232852609599,130470.875,867.089690430004,5.1875,7.33623285481043,211.29,15.0189480324023,2.285286193,4.66666666666667,0.63709331396133,0.16583123951777
"27",267,23,23,141,"OTH","0",637,"2",77.716912425,1.24887442532816,223644.265,503.085261610794,6.925,0,224.1,3.09712770159708,3.002480417,4.8,0.111824327536503,0.173205080756888
"28",270,23,23,141,"OTH","0",662,"2",79.205678345,1.12334045738764,231540.68,83.8911485199819,3.475,4.91439212924651,224.1,3.09712770159708,3.002480417,4.8,0.111824327536503,0.173205080756888
"29",271,23,23,141,"OTH","0",558,"2",66.422399495,1.24111453651647,268077.695,1304.33623964451,3.4375,4.86135912065751,224.1,3.09712770159708,3.002480417,4.8,0.111824327536503,0.173205080756888
"30",272,23,23,141,"OTH","0",580,"2",85.82517162,1.16696889628938,424693.965,432.798847560855,3.625,5.12652416360247,219.64,3.21026478658692,2.34895268142857,4.65714285714286,0.710602102461163,0.190237946242268
"31",275,23,23,141,"OTH","0",659,"1",87.02684348,9.93745735008895,357490.255,3549.31541709806,4.5625,6.45234937832725,204.015,25.3073516986665,2.1671738497,4.7,0.707314988227182,0.188561808316413
"32",278,23,23,141,"OTH","0",604,"2",79.04891317,1.34503989398044,198229.52,1372.46597801184,3.375,4.7729707730092,223.505,2.25567063198508,2.7897015335,4.775,0.435242307847043,0.15
"33",280,23,23,141,"OTH","0",686,"2",81.27424857,1.80205960952852,107017.36,823.977389981059,3.2265,4.56296005899679,217.32,6.49124025129251,2.339610821375,4.6625,0.658420103374297,0.176776695296637
"34",282,23,23,141,"OTH","0",743,"2",80.4785318,0.676746161586808,342496.685,2126.00846151891,3.35,4.73761543394987,219.64,3.21026478658692,2.34895268142857,4.65714285714286,0.710602102461163,0.190237946242268
"35",283,23,23,141,"OTH","0",646,"2",79.324425445,0.955406698075164,83379.96,876.868977213815,6.25,0,222.15,0.339411254969536,2.70410557,4.7,0.422741344964604,0.212132034355964
"36",284,23,23,141,"OTH","0",771,"2",79.43237792,0.802738843838425,248617.595,3.40118361750565,2.625,3.71231060122937,223.505,2.25567063198508,2.7897015335,4.775,0.435242307847043,0.15
"37",285,23,23,141,"OTH","0",500,"2",55.285464235,0.4448207447144,49922.09,110.181378644488,4.25,6.01040764008565,222.83,1.30107647738325,3.054152267,4.85,0.0948128681321652,0.212132034355964
"38",287,23,23,141,"OTH","0",581,"2",88.00991872,11.3277356873301,96447.405,1630.01548092342,5.4375,7.6897862454037,201.215,29.2671496733112,2.04623610545455,4.72727272727273,0.781761063963092,0.200454030096225
"39",288,23,23,141,"CO","0",588,"2",79.895300355,0.148067657934644,146967.405,272.370461045248,3.3125,4.68458242536088,221.91,0,2.987109445,5,2.987109445,5
"40",289,23,23,141,"OTH","0",632,"2",81.16963163,1.65410891412655,186746.325,1772.96418780809,2.83,4.00222438151586,217.32,6.49124025129251,2.339610821375,4.6625,0.658420103374297,0.176776695296637
"41",292,23,23,81,"OTH","0",604,"1",87.26354175,2.31430145140735,38869.575,1598.6623662456,8.475,0,219.64,3.21026478658692,2.34895268142857,4.65714285714286,0.710602102461163,0.190237946242268
"42",293,23,23,141,"OTH","0",625,"1",91.20507645,15.8463710830174,151200,0,5.2,7.35391052434009,197.63,34.3371052944187,1.84951245108333,4.81666666666667,1.00994732123002,0.363901418552116
"43",294,23,23,141,"OTH","0",583,"1",101.4628629,16.2109361768034,115839.41,1641.32211835459,6.375,9.01561146012848,197.63,34.3371052944187,1.84951245108333,4.81666666666667,1.00994732123002,0.363901418552116
"44",295,23,23,141,"OTH","0",500,"2",64.06257138,0.618617486974145,315149.25,1203.14218818891,3.4975,4.9462119343999,222.83,1.30107647738325,3.054152267,4.85,0.0948128681321652,0.212132034355964
"45",298,23,23,141,"OTH","0",600,"1",96.9179749,23.9256295514676,166135.84,4899.06205423039,6.25,0,185.745,51.145033483223,0.9798091666,7.008,2.17399130310138,2.26438365418348
"46",301,23,23,141,"OTH","0",673,"2",79.57894593,0.595460376286386,162211.455,266.642896117633,3.1625,4.47245039100491,222.83,1.30107647738325,3.054152267,4.85,0.0948128681321652,0.212132034355964
"47",302,23,23,141,"OTH","0",642,"2",94.97060396,0.0415722784480645,174809.14,1330.57697229435,4.3,6.08111831820431,220.79,1.58391918985787,2.45828335,4.68333333333333,0.711013065188226,0.194079021706795
"48",307,23,23,141,"OTH","0",626,"2",97.329067,10.3648659509411,163992.54,6728.06445444751,3.4125,4.82600378159819,200.99,29.5853477248451,1.1880878540303,7.20606060606061,1.94916912570073,2.00280106880642
"49",312,23,23,141,"OTH","0",636,"2",87.179524965,0.453220140898994,463941.18,5740.03829123118,3.043,4.30345187030133,220.79,1.58391918985787,2.45828335,4.68333333333333,0.711013065188226,0.194079021706795
"50",313,23,23,141,"OTH","0",563,"2",69.711534965,0.125108452292809,269657.8,483.94388104409,3.4375,4.86135912065751,221.91,0,2.987109445,5,2.987109445,5
"51",316,23,23,141,"OTH","0",603,"1",79.13250542,1.22682260032115,77907.27,131.140023638862,3.6,5.09116882454314,224.1,3.09712770159708,3.002480417,4.8,0.111824327536503,0.173205080756888
"52",317,23,23,141,"OTH","0",675,"0",79.38953129,0.863333129086407,119751.91,14492.9878664201,3.35,4.73761543394987,205.865,22.6910566082763,1.35864745757895,7.05789473684211,1.87255672711582,1.9062672707517
"53",321,23,23,141,"CO","0",764,"2",79.905823335,0.133185916902066,359576.205,599.336636665924,3.625,5.12652416360247,221.91,0,2.987109445,5,2.987109445,5
"54",323,23,23,141,"OTH","0",563,"2",81.3326952,1.88471562634953,203038.24,1360.13403574794,3.495,4.94267640049397,217.32,6.49124025129251,2.339610821375,4.6625,0.658420103374297,0.176776695296637
"55",324,23,23,141,"CO","0",653,"0",78.807606665,1.68629882604028,251720.045,33092.5337199201,3.2375,4.5785164081829,205.865,22.6910566082763,1.35864745757895,7.05789473684211,1.87255672711582,1.9062672707517
"56",325,23,23,141,"OTH","0",616,"1",79.04123231,3.45242384170541,75063.445,1037.24786625473,3.625,5.12652416360247,217.32,6.49124025129251,2.339610821375,4.6625,0.658420103374297,0.176776695296637
"57",328,23,23,141,"OTH","0",628,"2",89.365715975,0.755591714314293,288965.425,756.003215105614,3.8,5.37401153701776,222.83,1.30107647738325,3.054152267,4.85,0.0948128681321652,0.212132034355964
"58",408,19,19,133,"SF","0",604,"2",87.058080115,11.2315708126476,221682.885,5171.94163215809,4.8125,6.80590276892052,206.905,21.8990970133474,3.077588163625,4.975,0.35790873592081,0.361544306709822
